Scenario,Campaign,Acquisition_Multiplier__KP_CMD_increase_incidence,Transmission_Multiplier__KP_CMD_increase_transmission,Choice_Probabilities__KP_DelayDiagnosis,Delay_Period_Exponential__KP_CMD_ARTdropout,Choice_Probabilities__KP_EffectiveART_CMDpos,Choice_Probabilities__KP_EffectiveART_CMDneg,Choice_Probabilities__KP_EffectiveART_CMDneg_recov,Start_Year__KP_ARTswitch,Demographic_Coverage__KP_ARTSwitch_CMD_Onset_NonSuppressive_ART,Trigger_Condition_List__KP_ART_trigger_condition,Choice_Probabilities__KP_CMDtreatment,Choice_Probabilities__KP_TreatmentTable_Sensitivity,Choice_Probabilities__KP_TreatmentTable_Specificity
baseline,campaign_MATUMAINI_202305_baseline_notreat.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[0,1]","[1,0]","[1,0]"
uni_screening,campaign_MATUMAINI_202305_uni.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[.9,.1]"
neutral_screening,campaign_MATUMAINI_202305_neutral.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[.9,.1]"
art_screening,campaign_MATUMAINI_202305_art.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[.9,.1]"
ceta_screening,campaign_MATUMAINI_202305_ceta.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[.9,.1]"

uni_sa_treateff_LL,campaign_MATUMAINI_202305_uni.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.56,.44]","[.92,0.08]","[.9,.1]"
uni_sa_treateff_UL,campaign_MATUMAINI_202305_uni.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.68,.32]","[.92,0.08]","[.9,.1]"
uni_sa_cmdsens_LL,campaign_MATUMAINI_202305_uni.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[0.67,0.33]","[.9,.1]"
uni_sa_cmdsens_UL,campaign_MATUMAINI_202305_uni.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[1.0,0.0]","[.9,.1]"
